name;details_url;price_usd;growth;price_rub;code;pe;52_week_low;52_week_high;potential_profit
3M;https://markets.businessinsider.com/stocks/mmm-stock;142.08;41.11;11578.568064000001;MMM;17.09;95.02;156.35;64.54430646179752
A.O. Smith;https://markets.businessinsider.com/stocks/aos-stock;68.45;-18.03;5578.216385000001;AOS;18.8;58.85;92.42;57.043330501274426
Abbott Laboratories;https://markets.businessinsider.com/stocks/abt-stock;132.82;23.01;10823.940106;ABT;14.81;97.9;141.16;44.187946884576085
AbbVie;https://markets.businessinsider.com/stocks/abbv-stock;198.47;20.64;16173.975251000002;ABBV;74.34;153.58;218.63;42.355775491600454
Accenture;https://markets.businessinsider.com/stocks/acn-stock;305.33;0.16;24882.349289;ACN;29.9;275.97;398.27;44.31641120411637
Adobe;https://markets.businessinsider.com/stocks/adbe-stock;380.87;-20.11;31038.353171000002;ADBE;41.73;332.11;588.36;77.15817048568245
AES;https://markets.businessinsider.com/stocks/aes-stock;10.18;-44.96;829.601794;AES;5.44;9.58;22.2;131.73277661795407
Aflac;https://markets.businessinsider.com/stocks/afl-stock;105.53;28.51;8599.987949;AFL;10.74;80.6;115.5;43.300248138957826
Agilent Technologies;https://markets.businessinsider.com/stocks/a-stock;108.63;-22.42;8852.617179;A;29.42;96.48;155.33;60.99709784411278
Air Products and Chemicals;https://markets.businessinsider.com/stocks/apd-stock;277.62;14.15;22624.169946;APD;17.27;235.36;341.03;44.8971787899388
Airbnb;https://markets.businessinsider.com/stocks/abnb-stock;125.26;-21.93;10207.850758;ABNB;32.01;99.93;166.68;66.79675773041129
Akamai;https://markets.businessinsider.com/stocks/akam-stock;82.54;-20.13;6726.456982000001;AKAM;29.24;67.64;106.79;57.87995269071556
Alexandria Real Estate Equities;https://markets.businessinsider.com/stocks/are-stock;74.47;-37.79;6068.8060510000005;ARE;54.22;70.6;130.14;84.33427762039659
Align Technology;https://markets.businessinsider.com/stocks/algn-stock;179.82;-39.09;14654.125206;ALGN;37.11;141.83;295.75;108.52428964252978
Allegion;https://markets.businessinsider.com/stocks/alle-stock;140.93;14.98;11484.850769;ALLE;19.16;113.28;155.97;37.6853813559322
Alliant Energy;https://markets.businessinsider.com/stocks/lnt-stock;61.17;21.21;4984.945161000001;LNT;22.01;49.05;66.57;35.71865443425076
